,model,n_clusters,sil,dbi,ari,chi,nmi,vmeasure,fmi
0,LDA,5,0.01493870312836304,0.850210205357571,0.11542907532800338,2452.4300239450636,0.09199034280664276,0.09199034280664276,0.4758563006476989
1,LDA,6,0.014026666278680764,0.9488112281354492,0.10913297936193762,1838.3312579682197,0.08612580834355418,0.0861258083435542,0.4593019810958589
2,LDA,7,0.011135159935477618,0.9865793090476525,0.0940162332721232,1434.6662521830974,0.08153869788235556,0.08153869788235554,0.42762080231843164
3,LDA,8,-0.0019127141691837888,1.0211860626677303,0.1527066685488717,1270.4653068433583,0.12685166673496773,0.1268516667349677,0.44274911116901466
4,LDA,9,-0.003403010204625275,1.0392416670477804,0.16261520492584014,1102.6821938523128,0.1294354303715304,0.1294354303715304,0.4481512096110969
5,LDA,10,-0.002214917823590608,1.0461367777286004,0.1634784157437359,966.4078498480558,0.12802019318689456,0.1280201931868946,0.4510198023454865
6,NMF,5,0.003987776870022554,1.0367410682746183,0.09860116115048588,1981.3382076723065,0.10394570230418686,0.10394570230418687,0.4039656895891563
7,NMF,6,0.0042044765925708435,1.0918913161601316,0.08910412518290702,1515.347678536315,0.09465055598535504,0.09465055598535504,0.378028242322778
8,NMF,7,0.0025992013705361354,1.2172100502091125,0.06319831908872554,1138.197563093061,0.08571244112127646,0.08571244112127646,0.33855233395880785
9,NMF,8,0.003333304733235579,1.1981676190714516,0.06378570943404377,1007.3414917252268,0.08404905943485592,0.08404905943485592,0.3327623040507147
10,NMF,9,0.004764913285365931,1.2299121925222716,0.050942620148632795,848.9126097618964,0.07626687450206826,0.07626687450206825,0.2986150431102929
11,NMF,10,0.0047898569469817616,1.310497153284597,0.04634128057856156,699.693786917378,0.07156619792791735,0.07156619792791734,0.2852389853763948
12,SKM,5,-0.00010571796732200283,16.848680090489907,0.07216431277444003,9.48381397905563,0.10056388500624791,0.1005638850062479,0.3807275593293702
13,SKM,6,0.00022488706886132883,15.987872760859013,0.06112216281783068,8.646442268304307,0.08760899627243972,0.08760899627243972,0.3560785085257449
14,SKM,7,0.00076941501001849,15.171126559015462,0.054633116719011804,8.119882482409094,0.08351510849579062,0.08351510849579062,0.33729930798522484
15,SKM,8,0.0011303942708508162,15.239325425227124,0.05034298513566923,7.548296198814993,0.07847033119170345,0.07847033119170345,0.3056214413038205
16,SKM,9,0.001590752189504053,14.922404249102707,0.04550862890190549,7.231608680492641,0.07476650712296938,0.07476650712296937,0.2891902481359608
17,SKM,10,0.0012681742851107774,14.356783778302532,0.040259274364469,6.760642673500764,0.0720442200525083,0.0720442200525083,0.27387905022677145
18,GMM,5,-0.0004069219572807522,18.773161610502562,0.07828258952980398,7.814236012495787,0.09210550148304433,0.09210550148304433,0.3787336213706423
19,GMM,6,-3.956740416134146e-05,17.92741091986029,0.06357996159382748,7.201208444226172,0.0773025258163364,0.07730252581633641,0.34883028487293694
20,GMM,7,0.00024565224056869014,16.851482199471352,0.05462345143938389,6.850880393972609,0.07762710601381359,0.07762710601381359,0.3258530772580459
21,GMM,8,-0.00042296025533613386,16.388063756109922,0.0491846392105466,6.485757755428551,0.0717367411302664,0.07173674113026639,0.3012738777266902
22,GMM,9,1.770865433958804e-05,15.851917304537734,0.04270149086840583,6.3661723921994735,0.06737385401752277,0.06737385401752279,0.2830488440700754
23,GMM,10,-0.0003897071668249039,15.23434019231026,0.038247696267722335,6.044704316498763,0.06580645799330283,0.06580645799330283,0.2686348894783408
24,SPEC,5,-0.0038093488161883315,3.4089914948118136,-7.30674081949359e-05,3.279968802638746,0.006437083441089579,0.0064370834410895795,0.7008099611811379
25,SPEC,6,-0.006646149531895696,3.3907883063308617,-7.816331304440167e-05,3.1770451649843205,0.0070882437339731055,0.0070882437339731055,0.6995363115610743
26,SPEC,7,-0.007039296214589864,3.4109807840019153,-7.725940429311931e-05,3.154365595806773,0.008174205990026613,0.008174205990026611,0.6979824946740004
27,SPEC,8,-0.007020536189295916,3.616056490528849,-7.791661610238606e-05,3.151714278175148,0.008018603694560283,0.008018603694560282,0.6957228534253638
28,SPEC,9,-0.007668559114526488,3.5846263047528026,-7.180393556754103e-05,3.100042738223016,0.008611417551494126,0.008611417551494126,0.6944532408806833
29,SPEC,10,-0.007546484573039051,3.8688164628705457,-7.564621245739083e-05,3.218656840614039,0.008223998505436503,0.008223998505436501,0.6899405582694254
